Basin,lat,lon,area,perimeter,length,drain_net,drain_area,shape,Kc,relief,Zmean,Zmax,Zmin,BRR,temp,NDVI,precip,rock,forest,wood,summit,wetland,urban,coihue,lenga,steppe,wetland2,highmnt,TAI,TAM,TAR,Total
Acantuco,-40.687,-71.8259,18.76,21.67,6.64,8.8,0.47,0.0106,1.4,1165,1286.18,1934,769,0.175451807,12.18888889,0.22,2698.29,0,70.76,0,28.56,0,0,27.56,43.02,0,0,28.62,1.63,0.4,0.04,2.07
Blanco,-40.9863,-71.7269,14.52,17.75,4.72,4.72,0.32,0.0146,1.3,1241,1410.95,2014,773,0.262923729,9.433333333,0.11,2386.56,0,43.92,0,54.1,0,0,13.71,40.63,0,0,45.66,0,0,0,0
Blest,-41.0244,-71.8452,12.5,20.48,6.8,10.39,0.83,0.018,1.62,1031,1227.72,1797,766,0.151617647,13.5,0.26,3113.83,0,77.32,0,17.29,0,0,14.08,62.48,0,0,0,9.5,1.6,0.32,11.43
Bonito,-40.7357,-71.5788,56.72,39.23,13.24,22.74,0.4,0.0023,1.46,1147,1384.99,1916,769,0.08663142,10.42777778,0.22,2001.43,0,73.58,0,26.42,0,0,20.38,38.1,0,0,28.56,14.88,0.56,0.28,15.73
Bravo,-40.9687,-71.8035,46.91,38.84,10.38,12.61,0.27,0.0025,1.59,1132,1263.73,1901,769,0.109055877,11.99444444,0.12,2775.1,0,68.04,0,31.95,0,0,0,30.31,0,0,35.96,0,0,0,0
Casa de Piedra,-41.1604,-71.5157,64.78,44.05,19.77,34.13,0.53,0.0013,1.53,1457,1473.44,2206,749,0.073697521,5.55,0.07,2324.05,0,58.11,10.5,30.75,0,0,0.05,35.86,0,0,37.17,11.27,0,0.17,11.44
Cascada,-41.1561,-71.453,12.53,20.42,7.67,7.67,0.61,0.0104,1.62,1355,1256.49,2149,794,0.176662321,16.53888889,0.07,1926.9,0,54.93,20.67,24.37,0,0,0,17.56,0,0,20.43,39.7,0,0,39.7
Castilla,-41.0226,-71.3418,25.76,31,10.27,21.49,0.83,0.0079,1.71,654,925.18,1426,772,0.063680623,23.97777778,0.11,1439.01,0,52.79,47.02,0,0.209,0,0,8.85,31.37,0,0,10.01,36.48,7.72,54.21
Chacabuco,-40.9954,-71.2287,134.94,70.89,25.73,68.23,0.51,0.0008,1.71,1189,1054.93,1954,765,0.046210649,18.48333333,-0.02,1196.57,19.55,33.13,22.48,0,17.45,0,0,13.35,71.03,11.17,4.45,3.91,13.78,0,17.69
Challhuaco,-41.2366,-71.3091,41.62,28.95,9.56,12.92,0.31,0.0034,1.26,1289,1450.07,2228,939,0.134832636,7.405555556,0.06,1834.49,20.04,54.4,21.4,4.16,0,0,0,51.83,0,0,31.43,42.43,0,2.86,45.29
Coluco,-40.9123,-71.6688,25.15,25.93,9.26,9.26,0.37,0.0043,1.45,1182,1438.06,1953,771,0.127645788,11.1,0.13,2541.63,0,60.19,0,39.5,0,0,21.11,38.93,0,0,39.72,3.93,2.02,0.12,6.07
De la Quebrada,-41.3616,-71.2715,14.31,18.53,5.22,5.22,0.36,0.0134,1.37,969,1635.22,2103,1134,0.185632184,2.394444444,0.04,1526,39.39,59.59,0,0,1,0,0,48.36,0,0,45.56,50,2.14,0.43,52.56
Del Medio,-41.1808,-71.2129,108.07,60.25,24.52,35.2,0.33,0.0005,1.62,935,979.4,1727,792,0.038132137,20.06666667,-0.05,1248.79,0,0,25.64,1.91,1,0,0,7.07,72.01,4.52,1.41,20.56,5.76,0,26.32
Estacada,-40.783,-71.5257,49.06,35.55,13.87,27.06,0.55,0.0029,1.42,1205,1447.21,1976,771,0.086878154,9.233333333,0.18,1978.71,0,67.66,0,32.33,7.82,0.1,22.85,41.7,0,0,35.45,1.88,0,0,1.88
Frey,-41.1712,-71.73,36.59,26.23,7.49,9.84,0.27,0.0048,1.21,1391,1363.49,2159,768,0.185714286,9.7,0.2,2626.64,0,74.71,0,21.06,0,0,24.76,53.79,0,0,15.63,1.76,1.63,0.26,3.78
Gallardo,-40.8701,-71.8212,97.32,52.24,17.38,32.01,0.33,0.0011,1.48,1160,1273.73,1942,782,0.066743383,10.45,0.1,2962.76,0,63.91,0,26.78,0.704,0,17.7,45.91,0,0,27.51,1.75,5.5,0,7.25
Gutierrez,-41.2067,-71.4326,160.17,63.17,28.73,60.57,0.38,0.0005,1.4,1614,1261.34,2383,769,0.056178211,11.17777778,0.03,1741.8,0,60.22,10.85,17.55,0,0,6.07,25.99,0,0,20.9,1.05,7.64,0,8.69
Huemul,-40.8569,-71.4419,54.14,36.52,12.8,34.12,0.63,0.0038,1.39,1371,1416.06,2140,769,0.107109375,7.027777778,0.12,2112.66,0,64.29,0,35.72,0,0,26.21,29.63,0,0,40.49,7,0,0,7
Las Minas,-41.2928,-71.1703,44.4,31.58,10.59,15.21,0.34,0.0031,1.33,563,1190.42,1503,940,0.053163362,16.70555556,-0.04,1382.3,53.93,17.67,28.1,0,0.31,0,0,6.58,93.42,0,0,18.86,0.64,0,19.5
LLuvuco,-41.1457,-71.6111,27.19,24.98,6.4,9.01,0.33,0.0081,1.34,1389,1537.49,2190,801,0.21703125,4.922222222,0.04,2507.22,0,71.01,0,27.95,0,0,2.98,51.82,0,0,44.21,1.34,0.11,0,1.45
Machete,-40.8373,-71.8332,193.67,72.96,26.4,88.88,0.46,0.0007,1.47,1190,1279.72,1945,755,0.045075758,11.60555556,0.13,2942.88,0,63.42,0,28.57,3.23,0,19.26,43.64,0,0,32.51,4.01,4.48,0.24,8.73
