reach	order	chanwidth	chandepth	bank_depth	bank_width	sinuosity	slope	floodwidth	entrenchment	width_depth_r	lakekm	flowlength	valleylength	pools	wetwidth	silt	sand	gravel	cobble	boulder	bedrock	wood	velocity	discharge	turbidity	temp	cond	ph	tds	salt	benthos	TAI	TAM	TAR	Total
Acantuco	2	16	1.5	3	22	1.046319745	0.055830144	22	1.375	10.66666667	11.35	6.644130384	6.35	0.206405694	8	0	70	10	10	10	2	9	0.248769231	303.244	2.506666667	10.7	60.5	7.6	43.2	30.7	29.33	1.631393298	0.396825397	0.044091711	2.072310406
Blest Arriba	2	12.4	1.45	2.9	19	1.186651607	0.07187597	17	1.370967742	7.862068966	0.65	6.799513708	5.73	0.77	4	0	0	0	3.5	94	2.5	3	0.144285714	206.5175	0.75	10.6	33	7.73	23.5	18.2	750.15	13.88154416	0.132205182	0.132205182	14.14595452
Bonito Toma de agua	2	15	1.4	2.8	15	1.342516023	0.028977394	15	1	10.71428571	2.4	13.23720799	9.86	24.45528757	7	0	54	5	5	33	3	8	0.386714286	678.35	0.4	7.3	57.7	8.05	40.9	26.2	108.16	12.98701299	0.742115028	0.556586271	14.28571429
Bonito trampa	2	30	1.22	2.44	50	1.342516023	0.037981725	50	1.666666667	24.59016393	1.65	13.23720799	9.86	0	8	0	60	0	20	20	0	18	0.195666667	589.24	0.1	7.85	57.5	7.85	40.8	28.7	65.87	16.79104478	0.373134328	0	17.1641791
Casa de Piedra Ab	3	30.7	0.8	1.6	39	1.198908429	0.031989084	39	1.270358306	38.375	3.19	19.77	16.49	0	7.6	0	10	10	10	70	0	19	0.410333333	2742.385	0.22	9.8	53.3	8.06	38	26.9	170.02	11.92411924	0	0.180668473	12.10478771
Casa de Piedra Ar	3	19	0.75	1.5	27	1.198908429	0.07585418	27	1.421052632	25.33333333	3.78	19.77	16.49	23.43	12.4	0	10	20	5	50	15	7	0.318466667	704.51	0.22	9.8	53.3	8.06	38	26.9	72.22	10.625	0	0.15625	10.78125
Castilla Abajo	4	5.76	0.93	1.86	6.17	1.202576112	0.003999979	6.17	1.071180556	6.193548387	0.14	10.27	8.54	11.1627907	4.2	0	28	19	40	13	0	5	0.310571429	264.6325	1.55	12.4	89.3	8.04	63.3	44.5	1109.97	14.6179402	45.18272425	0	59.80066445
Castilla Medio	2	4.26	0.93	1.86	78	1.202576112	0.003999979	78	18.30985915	21.3	6.73	10.27	8.54	0.810615199	3.49	0	10	10	80	0	0	0	0.170083333	118.754375	1.37	13.6	127.4	7.6	90.7	63.1	1028.22	5.402735328	27.78549597	15.43638665	48.62461795
Chacabuco Arriba	3	8.2	0.8	1.6	20.4	1.634707574	0.001999997	20.4	2.487804878	10.25	6.03	25.73	21.8	20.12	3	20	10	60	10	0	0	0	0.431666667	282.775	0.93	13.3	138.4	7.6	98.4	68.4	1432.33	0.745341615	11.18012422	0	11.92546584
Chacabuco Des	3	7	0.5	1	50	1.180275229	0.011999424	50	7.142857143	14	0.1	17.05	10.43	11.41031492	4	30	0	20	50	0	0	2	0.239333333	138.2175	0.81	17.3	134.9	7.6	96.2	68.9	1836.44	4.56412597	13.36636891	0	17.93049488
